Nombre,Codigo_de_barras,Stock_inicial,SKU,Stock_minimo
Dell Producto Tecnológico 47,5932395773698,47,SKU-0047,10
Lenovo Producto Tecnológico 48,8390757982406,64,SKU-0048,10
Acer Producto Tecnológico 49,6299705980253,52,SKU-0049,10
Dell Producto Tecnológico 50,5763685392081,33,SKU-0050,10
Samsung Producto Tecnológico 51,9551751921054,45,SKU-0051,10
Apple Producto Tecnológico 52,2169191319484,113,SKU-0052,10
Microsoft Producto Tecnológico 53,1989360996907,79,SKU-0053,10
Logitech Producto Tecnológico 54,9683895194348,130,SKU-0054,10
Asus Producto Tecnológico 55,0128563064066,93,SKU-0055,10
Dell Producto Tecnológico 56,1805632968183,51,SKU-0056,10
Acer Producto Tecnológico 57,2490164401985,32,SKU-0057,10
Microsoft Producto Tecnológico 58,5870820936648,123,SKU-0058,10
Microsoft Producto Tecnológico 59,6009455574345,110,SKU-0059,10
HP Producto Tecnológico 60,7521904537928,48,SKU-0060,10
Sony Producto Tecnológico 61,3182998211374,70,SKU-0061,10
Samsung Producto Tecnológico 62,3057027989041,51,SKU-0062,10
HP Producto Tecnológico 63,4301956915751,116,SKU-0063,10
Logitech Producto Tecnológico 64,5922277398904,59,SKU-0064,10
Logitech Producto Tecnológico 65,9833521996978,56,SKU-0065,10
Lenovo Producto Tecnológico 66,1891618426394,55,SKU-0066,10
Lenovo Producto Tecnológico 67,5390165083463,134,SKU-0067,10
Asus Producto Tecnológico 68,1847797280578,34,SKU-0068,10
Samsung Producto Tecnológico 69,8920181958764,84,SKU-0069,10
Apple Producto Tecnológico 70,0173493023437,56,SKU-0070,10
Lenovo Producto Tecnológico 71,5248421378243,94,SKU-0071,10
Microsoft Producto Tecnológico 72,4963897899883,109,SKU-0072,10
Logitech Producto Tecnológico 73,1832456043220,26,SKU-0073,10
HP Producto Tecnológico 74,9077636712210,47,SKU-0074,10
Sony Producto Tecnológico 75,3145613982958,100,SKU-0075,10
Apple Producto Tecnológico 76,2943632707091,44,SKU-0076,10
HP Producto Tecnológico 77,7078984418268,49,SKU-0077,10
Acer Producto Tecnológico 78,9388563295749,20,SKU-0078,10
Apple Producto Tecnológico 79,9931149039727,49,SKU-0079,10
Asus Producto Tecnológico 80,1666772221873,80,SKU-0080,10
Apple Producto Tecnológico 81,5623098469143,61,SKU-0081,10
Dell Producto Tecnológico 82,8586204204066,142,SKU-0082,10
Acer Producto Tecnológico 83,3115672245638,134,SKU-0083,10
HP Producto Tecnológico 84,8000164117537,57,SKU-0084,10
Dell Producto Tecnológico 85,1526248376781,142,SKU-0085,10
Acer Producto Tecnológico 86,5742908335903,56,SKU-0086,10
Sony Producto Tecnológico 87,1252212096095,117,SKU-0087,10
HP Producto Tecnológico 88,4477188208888,103,SKU-0088,10
Dell Producto Tecnológico 89,9402906790890,23,SKU-0089,10
Asus Producto Tecnológico 90,3416762855984,71,SKU-0090,10
Sony Producto Tecnológico 91,3372862977126,71,SKU-0091,10
Acer Producto Tecnológico 92,2873773323868,133,SKU-0092,10
Samsung Producto Tecnológico 93,1943204658211,60,SKU-0093,10
Sony Producto Tecnológico 94,9437197060976,87,SKU-0094,10
Dell Producto Tecnológico 95,4669516903207,119,SKU-0095,10
Logitech Producto Tecnológico 96,0551029832155,59,SKU-0096,10
Asus Producto Tecnológico 97,1535948177938,51,SKU-0097,10
Apple Producto Tecnológico 98,3961736291003,58,SKU-0098,10
Lenovo Producto Tecnológico 99,4770452479669,110,SKU-0099,10
Acer Producto Tecnológico 100,6015041924948,97,SKU-0100,10
